date,temperature_2m,relative_humidity_2m,rain,shortwave_radiation
2024-06-21 00:00:00+00:00,17.2955,76.0,0.0,0.0
2024-06-21 01:00:00+00:00,17.0455,76.0,0.0,0.0
2024-06-21 02:00:00+00:00,16.6955,76.0,0.0,0.0
2024-06-21 03:00:00+00:00,16.2455,80.0,0.0,0.0
2024-06-21 04:00:00+00:00,16.2455,81.0,0.0,32.0
2024-06-21 05:00:00+00:00,16.7955,81.0,0.0,69.0
2024-06-21 06:00:00+00:00,17.9455,77.0,0.0,109.0
2024-06-21 07:00:00+00:00,19.0455,73.0,0.0,186.0
2024-06-21 08:00:00+00:00,20.345499,70.0,0.0,307.0
2024-06-21 09:00:00+00:00,22.595499,62.0,0.0,506.0
2024-06-21 10:00:00+00:00,24.8955,58.0,0.0,657.0
2024-06-21 11:00:00+00:00,26.3955,55.0,0.0,654.0
2024-06-21 12:00:00+00:00,27.1455,55.0,0.0,556.0
2024-06-21 13:00:00+00:00,27.4455,54.0,0.0,447.0
2024-06-21 14:00:00+00:00,27.0455,57.0,0.0,185.0
2024-06-21 15:00:00+00:00,25.8955,68.0,0.0,174.0
2024-06-21 16:00:00+00:00,26.1955,68.0,0.0,249.0
2024-06-21 17:00:00+00:00,26.0455,63.0,0.0,158.0
2024-06-21 18:00:00+00:00,24.8955,70.0,0.0,54.0
2024-06-21 19:00:00+00:00,23.2955,84.0,0.0,41.0
2024-06-21 20:00:00+00:00,22.595499,88.0,0.0,3.0
2024-06-21 21:00:00+00:00,21.7955,90.0,0.0,0.0
2024-06-21 22:00:00+00:00,20.845499,86.0,0.0,0.0
2024-06-21 23:00:00+00:00,20.0455,90.0,0.0,0.0
2024-06-22 00:00:00+00:00,19.7955,91.0,0.0,0.0
2024-06-22 01:00:00+00:00,19.6955,82.0,0.0,0.0
2024-06-22 02:00:00+00:00,18.595499,85.0,0.0,0.0
2024-06-22 03:00:00+00:00,17.9455,86.0,0.0,0.0
2024-06-22 04:00:00+00:00,17.6455,87.0,0.1,8.0
2024-06-22 05:00:00+00:00,17.6455,87.0,0.3,30.0
2024-06-22 06:00:00+00:00,17.6455,84.0,0.1,45.0
2024-06-22 07:00:00+00:00,17.3955,79.0,0.0,94.0
2024-06-22 08:00:00+00:00,17.1455,77.0,0.0,171.0
2024-06-22 09:00:00+00:00,17.1955,68.0,0.0,236.0
2024-06-22 10:00:00+00:00,16.845499,71.0,0.1,199.0
2024-06-22 11:00:00+00:00,18.2955,62.0,0.0,289.0
2024-06-22 12:00:00+00:00,19.7955,51.0,0.0,520.0
2024-06-22 13:00:00+00:00,20.6455,50.0,0.0,569.0
2024-06-22 14:00:00+00:00,22.4955,44.0,0.0,609.0
2024-06-22 15:00:00+00:00,22.3955,47.0,0.0,332.0
2024-06-22 16:00:00+00:00,22.6455,47.0,0.0,266.0
2024-06-22 17:00:00+00:00,21.345499,55.0,0.0,238.0
2024-06-22 18:00:00+00:00,20.9955,58.0,0.0,172.0
2024-06-22 19:00:00+00:00,20.1955,63.0,0.0,59.0
2024-06-22 20:00:00+00:00,19.3955,61.0,0.0,3.0
2024-06-22 21:00:00+00:00,18.4955,68.0,0.0,0.0
2024-06-22 22:00:00+00:00,17.9955,71.0,0.0,0.0
2024-06-22 23:00:00+00:00,17.345499,76.0,0.0,0.0
2024-06-23 00:00:00+00:00,16.5455,81.0,0.0,0.0
2024-06-23 01:00:00+00:00,16.0455,83.0,0.0,0.0
2024-06-23 02:00:00+00:00,15.5455,86.0,0.0,0.0
2024-06-23 03:00:00+00:00,15.0455,89.0,0.0,1.0
2024-06-23 04:00:00+00:00,14.8955,90.0,0.0,39.0
2024-06-23 05:00:00+00:00,15.5955,86.0,0.0,135.0
2024-06-23 06:00:00+00:00,16.6955,79.0,0.0,243.0
2024-06-23 07:00:00+00:00,17.9955,72.0,0.0,335.0
2024-06-23 08:00:00+00:00,19.1955,66.0,0.0,491.0
2024-06-23 09:00:00+00:00,20.2955,61.0,0.0,632.0
2024-06-23 10:00:00+00:00,21.1455,55.0,0.0,621.0
2024-06-23 11:00:00+00:00,21.6455,52.0,0.0,532.0
