codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
0021235030,0027,2007-06-06T16:00:00.000,49,UNIVERSIDAD DE CUNDINAMARCA - AUT,CUNDINAMARCA,GIRARDOT,ALTO MAGDALENA,4.305333333,-74.80811111,Humedad del aire 2 mt,%
0053115501,0027,2017-11-05T18:50:00.000,98.93397,DAGUA  - AUT,VALLE DEL CAUCA,DAGUA,TAPAJE - DAGUA - DIRECTOS,3.610441667,-76.63785833,Humedad del aire 2 mt,%
0026125508,0027,2019-02-21T21:20:00.000,85.54683,LACATALINA  - AUT,RISARALDA,PEREIRA,CAUCA,4.7475,-75.73805556,Humedad del aire 2 mt,%
0052015501,0027,2016-07-07T10:00:00.000,46,BALBOA  - AUT,CAUCA,BALBOA,PATÍA,2.125191667,-77.19266667,Humedad del aire 2 mt,%
0023035030,0027,2005-11-02T18:00:00.000,73,BASE PALANQUERO  - AUT,CUNDINAMARCA,PUERTO SALGAR,MEDIO MAGDALENA,5.492861111,-74.658,Humedad del aire 2 mt,%
0021085501,0027,2018-02-23T00:40:00.000,90.2214,TERUEL  - AUT,HUILA,TERUEL,ALTO MAGDALENA,2.762997222,-75.61144167,Humedad del aire 2 mt,%
0026135300,0027,2016-05-19T18:00:00.000,100,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,CAUCA,4.761916667,-75.74491667,Humedad del aire 2 mt,%
0052055220,0027,2011-12-08T10:00:00.000,78,EL PARAISO - AUT,NARIÑO,TÚQUERRES,PATÍA,1.070611111,-77.63688889,Humedad del aire 2 mt,%
0035025501,0027,2018-01-23T13:25:00.000,51.28735,QUETAME  - AUT,CUNDINAMARCA,QUETAME,META,4.297941667,-73.87238889,Humedad del aire 2 mt,%
0026135320,0027,2010-07-27T14:00:00.000,100,NEVADO SANTA ISABEL  - AUT,CALDAS,VILLAMARIA,CAUCA,4.802611111,-75.38047222,Humedad del aire 2 mt,%
3518500127,0027,2019-08-04T22:00:00.000,100,GUADUALITO - AUT,CASANARE,MONTERREY,META,4.987080556,-72.8651,Humedad del aire 2 mt,%
0037015030,0027,2013-03-25T01:00:00.000,93,BERLIN - AUT,SANTANDER,TONA,ARAUCA,7.187,-72.8685,Humedad del aire 2 mt,%
0023065190,0027,2013-01-07T09:00:00.000,62,QUEBRADA NEGRA - AUT,CUNDINAMARCA,QUEBRADANEGRA,MEDIO MAGDALENA,5.137611111,-74.48125,Humedad del aire 2 mt,%
2120000106,0027,2019-08-25T04:00:00.000,75.29,GRAN BRETAÑA - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.512,-74.164,Humedad del aire 2 mt,%
0021115170,0027,2018-02-27T09:00:00.000,77,LA PLATA - AUT,HUILA,NEIVA,ALTO MAGDALENA,2.759138889,-75.07455556,Humedad del aire 2 mt,%
0021115501,0027,2019-05-13T14:55:00.000,79.53516,TELLO  - AUT,HUILA,TELLO,ALTO MAGDALENA,2.960666667,-75.02849722,Humedad del aire 2 mt,%
2120000102,0027,2019-04-24T10:53:00.000,52.67,COLEGIO CARLOS PIZARRO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.635,-74.205,Humedad del aire 2 mt,%
2305500055,0027,2019-04-01T08:00:00.000,100,SAN JOSE DE PENSILVANIA - AUT,CALDAS,PENSILVANIA,MEDIO MAGDALENA,5.372638889,-75.150138889,Humedad del aire 2 mt,%
0021202180,0027,2013-09-11T08:55:00.000,71.7,QUIBA - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.543,-74.156,Humedad del aire 2 mt,%
0026125506,0027,2018-10-01T20:05:00.000,82.04362,EL AGRADO  - AUT,QUINDÍO,MONTENEGRO,CAUCA,4.518333333,-75.7925,Humedad del aire 2 mt,%
0023065502,0027,2016-06-16T09:40:00.000,58,LA PALMA  - AUT,CUNDINAMARCA,LA PALMA,MEDIO MAGDALENA,5.330266667,-74.40156111,Humedad del aire 2 mt,%
0021202250,0027,2014-01-12T15:00:00.000,42.8,DOÑA JUANA - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.5,-74.133,Humedad del aire 2 mt,%
0026195502,0027,2017-09-02T12:05:00.000,56.85218,CIUDAD BOLIVAR  - AUT,ANTIOQUIA,CIUDAD BOLÍVAR,CAUCA,5.868666667,-75.99044167,Humedad del aire 2 mt,%
0022045502,0027,2017-10-03T14:35:00.000,42.60973,EL RUBY  - AUT,TOLIMA,PLANADAS,SALDAÑA,3.95,-75.66666667,Humedad del aire 2 mt,%
0026155505,0027,2018-05-24T08:20:00.000,82.33351,GRANJA LUKER  - AUT,CALDAS,PALESTINA,CAUCA,5.070275,-75.68555278,Humedad del aire 2 mt,%
0027015280,0027,2018-01-11T20:00:00.000,99,PARAMO BELMIRA - AUT,ANTIOQUIA,ENTRERRIOS,NECHÍ,6.632027778,-75.64444444,Humedad del aire 2 mt,%
0026125506,0027,2019-01-14T00:50:00.000,98.37528,EL AGRADO  - AUT,QUINDÍO,MONTENEGRO,CAUCA,4.518333333,-75.7925,Humedad del aire 2 mt,%
0024055080,0027,2018-11-23T18:00:00.000,92,VIZCAINA LA LIZAMA  - AUT,SANTANDER,BARRANCABERMEJA,SOGAMOSO,6.982972222,-73.70488889,Humedad del aire 2 mt,%
0021202200,0027,2015-04-28T12:15:00.000,0,VITELMA,BOGOTA D.C.,"BOGOTA, D.C",META,4.575,-74.072,Humedad del aire 2 mt,%
0021055501,0027,2018-02-15T14:20:00.000,71.24732,SIMON CAMPOS  - AUT,HUILA,LA PLATA,ALTO MAGDALENA,2.345830556,-75.87805556,Humedad del aire 2 mt,%
0025025360,0027,2018-10-16T03:00:00.000,100,AEROPUERTO LAS FLORES  - AUT,MAGDALENA,EL BANCO,BAJO MAGDALENA,9.046333333,-73.97083333,Humedad del aire 2 mt,%
0021015502,0027,2017-07-14T12:30:00.000,38.11596,SAN AGUSTIN  - AUT,HUILA,SAN AGUSTÍN,ALTO MAGDALENA,1.851416667,-76.30433056,Humedad del aire 2 mt,%
2120000106,0027,2019-07-29T06:27:00.000,76.96,GRAN BRETAÑA - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.512,-74.164,Humedad del aire 2 mt,%
0021015502,0027,2018-11-05T14:05:00.000,89.40395,SAN AGUSTIN  - AUT,HUILA,SAN AGUSTÍN,ALTO MAGDALENA,1.851416667,-76.30433056,Humedad del aire 2 mt,%
0021202200,0027,2015-11-16T03:25:00.000,87,VITELMA,BOGOTA D.C.,"BOGOTA, D.C",META,4.575,-74.072,Humedad del aire 2 mt,%
0026185050,0027,2006-10-11T04:00:00.000,90,SANTA BARBARA - AUT,ANTIOQUIA,SANTA BÁRBARA,CAUCA,5.859583333,-75.55627778,Humedad del aire 2 mt,%
0021165502,0027,2018-03-20T14:30:00.000,72.54995,VILLARICA  - AUT,TOLIMA,VILLARRICA,ALTO MAGDALENA,3.955641667,-74.59178611,Humedad del aire 2 mt,%
0036015020,0027,2017-06-29T09:00:00.000,78,EL DIAMANTE - AUT,CASANARE,PAZ DE ARIPORO,META,5.816194444,-71.41983333,Humedad del aire 2 mt,%
0021255160,0027,2006-12-06T05:00:00.000,93,HACIENDA PAJONALES,TOLIMA,AMBALEMA,ALTO MAGDALENA,4.760722222,-74.83425,Humedad del aire 2 mt,%
0021015030,0027,2019-03-13T06:00:00.000,100,PARQUE ARQUEOLOGICO - AUT,HUILA,SAN AGUSTÍN,ALTO MAGDALENA,1.888472222,-76.29497222,Humedad del aire 2 mt,%
0037015501,0027,2019-02-24T22:25:00.000,51.59252,LABATECA  - AUT,NORTE DE SANTANDER,LABATECA,ARAUCA,7.296058333,-72.49772778,Humedad del aire 2 mt,%
0026145506,0027,2018-09-10T13:25:00.000,45.1155,FILO BONITO  - AUT,CALDAS,BELALCAZAR,CAUCA,4.986358333,-75.84574722,Humedad del aire 2 mt,%
0037015030,0027,2006-09-02T18:00:00.000,69,BERLIN - AUT,SANTANDER,TONA,ARAUCA,7.187,-72.8685,Humedad del aire 2 mt,%
0026155505,0027,2017-09-13T18:55:00.000,99.9757,GRANJA LUKER  - AUT,CALDAS,PALESTINA,CAUCA,5.070275,-75.68555278,Humedad del aire 2 mt,%
0026155505,0027,2018-05-25T10:40:00.000,57.8781,GRANJA LUKER  - AUT,CALDAS,PALESTINA,CAUCA,5.070275,-75.68555278,Humedad del aire 2 mt,%
0026175501,0027,2017-05-22T03:55:00.000,100,RAFAEL ESCOBAR  - AUT,CALDAS,SUPIA,CAUCA,5.45,-75.63305556,Humedad del aire 2 mt,%
0026125501,0027,2017-08-13T04:30:00.000,88.3776,GENOVA  - AUT,QUINDÍO,GÉNOVA,CAUCA,4.204416667,-75.76866667,Humedad del aire 2 mt,%
0035085080,0027,2007-09-16T04:00:00.000,95,LA CAPILLA - AUT,BOYACÁ,LA CAPILLA,META,5.099194444,-73.436,Humedad del aire 2 mt,%
0026075501,0027,2017-08-26T08:15:00.000,78.2653,FLORIDA  - AUT,VALLE DEL CAUCA,FLORIDA,CAUCA,3.291469444,-76.17735833,Humedad del aire 2 mt,%
2120000104,0027,2019-02-18T22:29:00.000,79.25,COLEGIO MIGUEL ANTONIO CARO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.813,-74.031,Humedad del aire 2 mt,%
0021235030,0027,2007-09-14T01:00:00.000,68,UNIVERSIDAD DE CUNDINAMARCA - AUT,CUNDINAMARCA,GIRARDOT,ALTO MAGDALENA,4.305333333,-74.80811111,Humedad del aire 2 mt,%
0021206930,0027,2013-02-09T13:00:00.000,91,PARAMO GUERRERO  - AUT,CUNDINAMARCA,ZIPAQUIRÁ,ALTO MAGDALENA,5.086444444,-74.02216667,Humedad del aire 2 mt,%
0035085060,0027,2005-06-13T00:00:00.000,91,ZETAQUIRA - AUT,BOYACÁ,ZETAQUIRÁ,META,5.294944444,-73.16994444,Humedad del aire 2 mt,%
0021185090,0027,2014-01-17T04:00:00.000,86,NATAIMA - AUT,TOLIMA,ESPINAL,ALTO MAGDALENA,4.188138889,-74.96047222,Humedad del aire 2 mt,%
0035085070,0027,2015-05-04T17:00:00.000,73,SANTA MARIA - AUT,BOYACÁ,SANTA MARÍA,META,4.84125,-73.25669444,Humedad del aire 2 mt,%
